,0,1,2,3,4
308,"Huidevetterken","rue des tanneurs","van slijpstraat tot nieuwland en godshuishammeken.",3,1
309,"Huidevetterskaai","quai des tanneurs","van achterlei tot nieuwland.",3,1
310,"Huidevettershoek",,"ziet groote en kl. huidevettershoek.",,
311,"Hulststraat","rue du houx","van brugschen steenweg tot kastanjestraat.",6,3
312,"Hundelgemschesteenweg","chaussée d’Hundelgem","Ledeberg, van s. lievenspoort tot Meirelbeke.",,
313,"Huurdochtersstraat","rue des servantes","van koornlei tot s. michielsplaats.",2,2
314,"Jesuitensstraat",,"ziet voldersstraat.",,
315,"Jodenstraat","rue des juifs","van gouvernementstraat tot laurentplaats.",1,2
316,"Jordaensstraat","rue Jordaens","van Van Duyse'splaats tot korte kazernstraat.",5,2
317,"Jozeef II straat","rue Joseph II","van wondelgemstraat tot turfstraat.","H 6",3
318,"Kaarderijstraat","rue de la carderie","van drongensche steenweg tot leikaai.",6,3
319,"Kaatsplaats","place du jeu de paume","van drongenhof tot korte kalversteeg.",3,3
320,"Kalanderberg","place de la calandre","van kalanderstraat tot kouterdreef en lange meire.",1,2
321,"Kalanderstraat","rue de la calandre","van mageleinstraat tot kalanderberg.",1,2
322,"Kalvermarkt","marché aux veaux","van gildestraat tot roodentorenstraat.",1,1
323,"Kammerstraat","rue des peignes","van vrijdagmarkt tot koningstraat.",1,1
324,"Kanunnikstraat","rue des chanoines","van kortrijkschestraat tot korte en lange kazernenstraten.",5,"2 kanonstraat, ziet waterstraatje. kapellaanstraat (rue du chapelain) van de prooststraat tot de baljuwstraat."
325,"Kapellestraat","rue de la chapelle","van pekelharing tot s. agneetestraat.",2,2
326,"Kapellestraat","rue de la chapelle","Gentbrugge, van Hongarijstraat tot snoekstraat, Gentbtugge.",,
327,"Kapucijnenham","hameau des capucins","van keizerkarelstraat tot apostelstraat.",4,1
328,"Kapucijnenstraat","rue des capucins","van brabantdam tot keizerkarelstraat.",4,1
329,"Karpelstraat","rue de la carpe","van toekomststraat tot scheldeboulevard.",7,1
330,"Karrenstraat","rue des charrettes","van ijperstraat tot stoppelstraat.",2,2
331,"Kastanjestraat","rue du marron","van vossenstraat tot peterceliestraat.",6,3
332,"Kasteelboulevard","boulevard du château","van boulevard Lousbergs tot hoek der schoolkaai.",7,1
333,"Kasteelkaai","quai du château","van roodentorenkaai tot dok  Dampoortbrug .",7,1
334,"Kasteelplein",,"ziet spanjaardskasteel.",,
335,"Kasteelstraat of kasteelbrugstraat","rue du château","van zondernaamstraat tot kasteelkaai.",7,1
336,"Kasteelstraat","rue du château","Gentbrugge, van hongerijstraat tot Melle.",,
337,"Kasteelvest",,"ziet boulevard van het kasteel.",,
338,"Kathelijnestraat",,"ziet s. Catharinastraat.",,
339,"Kattenbergstraat",,"ziet verdedigingstraat.",,
340,"Kazemattenstraat","rue des casemattes","van schoolstraat tot nieuwe beestenmarkt.",7,1
341,"Kazernenstraat","korte","rue courte des casernes  van s. Amandstraat tot lange kazernenstr.",5,2
342,"Kazernenstraat","lange","rue longue des casernes  van korte kazernstraat tot boulevard der citadel.",5,2
343,"Kazernstraat","Ledeberg","uitkomende in de langestraat.",,
344,"Keibergstraat","rue Keiberg","Gentbrugge, van s. eloistraat tot bruiloftstraat.",,
345,"Keizerkarelstraat","rue Charles V","van nieuwbrug tot Van Arteveldeplaats.",4,1
346,"Keizerstraat","rue de Bruxelles ou de l'empereur",", ziet brusselschestraat.",,
347,"Keizersvest","rempart de la porte de Bruxelles",", ziet brusselsche boulevard.",,
348,"Kerkhofsstraat","rue du cimetière","in de kerkstraat, brugschepoort.","H 6",3
349,"Kerkplein","place de l’église","Gentbrugge.",,
350,"Kerkstraat, brugschepoort","rue de l’église","van noordkaai tot ijskelderstraat.","H 6",3
351,"Kerkstraat","rue de l’église","s. Amandsberg, van h. hartstraat tot hoogstraat.",,
352,"Kerkstraat","rue de l'église","Ledeberg, van hundelgemschen steenweg tot vooruitgangplaats.",,
353,"Kerkstraat","rue de l’église","Gentbrugge, van posthoornstraat, Gentbrugge tot kerkhof.",,
354,"Ketelplein","plaine des chaudronniers","van begin nederkouter rechts, tot de lei.",5,"2 ketelpleinstraat (rue de la plaine des chaudronniers) van ketelplein tot leistraat."
355,"Ketelvest","rempart des chaudronniers","van nederkouter tot walpoortbrugstraat.",5,2
356,"Kiekenmarkt","marché aux poulets",", van botermarkt tot goudenleeuwplaats.",1,2
357,"Kiekenstraat","rue du poulet","van brugschen steenweg tot hamerstraat.",6,3
358,"Kievitstraat","rue du vanneau","van musschenstraat tot s. pieters-aalststraat.","H 5",2
359,"Kleine bellevuestraat","petite rue de bellevue","van coupure, linker oever, tot bijlokevest.","H 2",2
360,"Kleine binnenweg","petit chemin de traverse","Ledeberg, van binnenweg tot langestraat.",,
361,"Kleine botermarkt","petit marché au beurre","van bij s. jacobs tot baudeloolei.",1,1
362,"Kleine dok","petit dock ou dock, rive gauche",", ziet boulevard van den kleinen dok en kleine dokkaai.",,
363,"Kleine dokkaai","quai du petit dock","van antwerpschen steenweg tot meulesteedsche steenw. langs het water. H3 —","HM 3",1
364,"Kleine hoogpoortstraat","petite rue hautpoort","ziet ketelpleinstraat.",,
365,"Kleine hospitaalstraat","petite rue de l’hôpital","van akkergemstraat tot hospitaalstraat.","H 2",2
366,"Kleine huidevettersshoek","petit toquet","van corianderstraat tot lammerstraat.",5,2
367,"Kleine kerkstraat","petite rue de l’église","Ledeberg, van zuidstraat tot hoefijzerstraat.",,
368,"Kleinen dokboulevard",,"ziet boulevard van den kleinen dok.",,
369,"Kleine onderstraat","petite rue basse","van onderstraat tot kammerstraat.",1,1
370,"Kleine penitentenstraat","petite rue des pénitents","van kleine botermarkt tot wolvensteeg.",1,1
371,"Kleine ram","petite rue du bélier","van ram tot luxemburgstraat.",2,3
372,"Kleine reke",,"ziet bleekersdijk.",,
373,"Kleine s. Gillisstraat","impasse s. Gilles","in s. Gillisstraat, zonder einde.",5,1
374,"Kleine statiestraat of Poelman","petite rue de la station ou Poelman","van brabantdam tot vlaanderenstraat.",4,1
375,"Kleine veerstraat","petite rue du ponton","van citadelboulevard tot de lei.",5,2
376,"Kleine vleeschhuissteeg","ruelle de la petite boucherie","van kouter tot kortedagsteeg.",1,2
377,"Kleine vischmarkt","petit marché au pooisson","van vleeschhuisbrug tot veerleplaats.",3,3
378,"Klein gewat","petite avenue de la cour","van groot gewat tot lievekaai.",2,3
379,"Klein meerhem","place du petit marais","van groot meerhem tot nijverheidsplaats.","H 3",1
380,"Klein s. Pietersplein","petite plaine s. Pierre","van heuvelstraat tot voetweg.",5,2
381,"Klein Turkije","petite Turquie","van goudenleeuwplaats tot koornmarkt.",1,2
382,"Kleistraat","rue de l'argile","van parkplaats tot zandstraat s. Pieters-Aalst.","H 5",2
383,"Klinkkouter","r. des champs","s. amandsb. van dendermondschenstnw. s. amand. tot toekomststr. s. amand.",,
384,"Klokstraat","rue de la cloche","van gasmeterboulevard tot ijskelderstraat.","H 6",3
385,"Klokstraat","rue de la cloche","Gentbrugge, v. dorpplaats tot achter driesstraat.",,
386,"Kluizestraat","rue de l'ermitage","van molenaarsstraat tot lievegang.",3,3
387,"Kluyskensstraat","rue Kluyskens","van godshuizenstraat tot bijlokekaai.","H 2",2
388,"Koestraat","rue aux vaches","van kalanderberg tot kortedagsteeg.",1,2
389,"Koepoortkaai","quai aux vaches ou quai porte aux vaches","van Van Eyckplaats tot Van Arteveldeplaats.",4,1
390,"Koersplein","westveld","s. Amandsberg, van heyveldstraat tot Oostacker.",,
391,"Kogelstraat","rue de la balle","van antwerpschen steenweg tot weldadigheidstraat.",7,1
392,"Koningstraat","rue royale","van zandberg tot vlasmarkt.",1,1
393,"Koningstraat","rue royale","s. amandsberg, van hoogstr. tot engelstraat.",,
394,"Koolsteeg","rue aux choux","v. burgstr. tot begijnendries.",2,3
395,"Koophandelplaats","place du commerce ou du palais de justice","van veldstraat en recollettenbrug tot ketelpoortbrug",1,2
396,"Koornbloemstraat","rue du bluet, rue de la fleur de blé",", van akkergemstraat tot kruisboogstraat.","H 2",2
397,"Koornlei","quai au blé","v. grasbrug tot huurdochtersstr.",2,2
398,"Koornmarkt","marché aux grains","van kortemunt tot veldstraat.",1,2
399,"Koperstraat","rue du cuivre","van ijperstr. tot stoppelstr.",2,2
400,"Korte begijnenstraat","rue courte des béguines","van begijnenstraat tot proveniersstraat.",2,3
401,"Korte boomgaardstraat","rue courte du verger","van lange boomgaardstraat tot belgradestraat.",4,1
402,"Kortedagsteeg","rue courte du jour","van koestraat tot walpoortbrug.",1,2
403,"Korte kalversteeg","rue courte aux veaux","van roode koningstraat tot kaatsplaats.",3,3
404,"Korte kammerstraat","rue courte des peignes","van kammerstraat tot bij s. Jacobs.",1,1
405,"Korte kazernenstraat","rue courte des casernes","van s. amandstr. tot lange kazernenstraat.",5,2
406,"Korte koestraat","rue courte aux vaches","van spiegelstraat tot bisdomkaai.",1,1
407,"Korte krevelsteeg","r. courte des démangeaisons, ou passage de la rue de Bruxelles","van keizerstr. tot s. lievenstr.",4,1
408,"Korte kruisstraat","rue courte de la croix","van kruisstraat tot kalanderstraat.",1,2
409,"Korte meerschstraat","r. courte de la prairie","v. meerschstraat tot eedverbondkaai.","H 5",2
410,"Korte meire","rue courte du marais","van voldersstraat tot kouter.",1,2
411,"Korte munt","rue courte de la monnaie","van groenselmarkt tot koornmarkt.",1,2
412,"Korte penitentenstraat",,"ziet kleine penitentenstraat.",,
413,"Korte ridderstraat","rue courte des chevaliers","van goudenleeuwplaats tot s. Janstraat.",1,2
414,"Korte smisstraat","rue courte de la forge","van meerschtraat tot smisstraat, s. Pieters-Aigem.","H 5",2
415,"Korte steenstraat","rue courte des pierres","van lange steenstraat tot slijpstraat.",3,1
416,"Korte stropstraat","rue courte du strop","van stropstraat tot de schelde, s. Pieters-Aalst.","H 5",2
417,"Korte violettenstraat","rue courte des violettes","van recollettenlei tot annonciadenstraat  zottepoortbrug .",2,2
418,"Korte wijngaardstraat","rue courte de la vigne","van lange boomgaardstraat tot belgradestraat.",4,1
419,"Korte ijperstraat",,"ziet ijpersteeg.",,
420,"Korte zilverstraat","rue courte d'argent","van lievekaai tot prinsenhof.",2,3
421,"Kortrijkschensteenweg","chaussée de Courtrai","van kortrijkschepoort naar s. Denijs.","H 5",2
422,"Kortrijkschestraat","rue de Courtrai","van nederkouter tot kortrijkschepoort.",5,2
423,"Kortschipgracht","rue courte des batteaux","van zaaimansstraat tot palingstraat.",3,3
424,"Kouter","place d'armes","van vogelmarkt tot schouwburgstraat en zonnestraat",1,2
425,"Kouterdreef","avenue de la place d'armes","van kalanderberg tot kouter.",1,2
426,"Koutersteeg","ruelle de la place d'armes","van koestraat tot kouter.",1,2
427,"Kouterstraat",,"Gentbrugge  van dorpplaats tot schelde.",,
428,"Kouterstraat s. Amandsberg",,"van molenstraat tot dendermondschen steenweg.",,
429,"Kraaistraat","rue de la corneille","van zandstraat tot sperwerstraat.","H 5",2
430,"Kraanlei","quai de la grue","van veerleplaats tot oudburg.",3,3
431,"Kraanstraat","rue de la grue","van ham tot dok.","H 3",1
432,"Kreeftstraat","rue du Homard","van scheldeboulevard tot visschersstraat.",7,1
433,"Krekelberg","mont des cigales","s. Amandsberg, tusschen het nieuw begijnhof en den dendermondschen steenweg.",,
434,"Kriekerijstraat","rue de la cerisaie","van molenaarsstraat tot s. Margrietestraat.",3,3
435,"Krommenelleboog",,"ziet saliestraat.",,
436,"Krommewal","rue du fossé courbe","is nu krommewalplaats.",,
437,"Krommewalplaats","place du fossé courbe","van goudstraat, ottogracht tot krommewalbrug.",3,1
438,"Kromsteeg","rue tortue","v. cataloniëstr. tot bennesteeg.",1,"2 roonstraat (rue de la couronne) van weversstraat tot vlasstraat."
439,"Kruisboogstraat","rue de l’arbalète","van akkergemstraat tot koornbloemstraat.","H 2",2
440,"Kruisstraat","r. de la croix","v. bij s. baafs tot kalanderb.",1,2
441,"Kuiperskaai","quai des tonneliers","van Lieven Bauwensplaats tot brabantdam en vlaanderenstraat.",4,1
442,"Kuipersstraat","rue des tonneliers","van plottersgracht tot lange steenstraat.",3,3
443,"Kunststraat","rue de l'art","s. Amandsberg, van dendermondschensteenweg tot toekomststraat.",,
444,"Kwakkelstraat","rue de la caille","van kerkstraat tot pannestraat.","H 6",3
445,"Lachaertstraat","rue Lachaert","Ledeberg, van kerkstraat tot binnenweg.",,
446,"Lammenstraat","rue de l’agneau","van s. pietersnieuwstraat tot Lieven Bauwensplaats.",5,2
447,"Landbouwersstraat","r. des cultivateurs","v. meulesteedschenstw. tusschen nrs 270 en 272 tot achtermuide.","HM 3",1
448,"Land van Waasstraat buiten de dampoort","rue du pays de Waas","van dendermondschen tot antwerpschen steenw.",7,1
449,"Lange boomgaardstraat","rue longue du verger","van brabantdam tot keizerkarelstraat.",4,1
450,"Lange kalversteeg","rue longue aux veaux","van oudburg tot korte kalversteeg.",3,3
451,"Lange kazernenstraat","r. longue des casernes","van einde korte kazernenstr. en kanunnikstr. tot boul. der citadel",5,2
452,"Lange krevelsteeg","rue longue des démangeaisons ou passage de la r. s. Liévin","v. keizerstr. tot s. lievenstr.",4,1
453,"Langemeire","rue longue du marais","van kalanderberg tot kortemeire.",1,2
454,"Langemunt","rue longue de la monnaie","van groensselmarkt tot groot kanonplaats.",1,1
455,"Lange penitentenstraat",,"ziet penitentenstraat.",,
456,"Lange steensstraat","rue longue des pierres","van lievestraat tot korte steenstraat.",3,3
457,"Langestraat","rue longue","Ledeberg, van hundelgemschen steenweg tot brusselschen steenweg.",,
458,"Lange violettenstraat","rue longue des violettes","van Van Arteveldeplaats tot vijfwindgatbrug.",4,1
459,"Lange wijngaardstraat","rue longue de la vigne","van reep tot lange boomgaardstraat.",4,1
460,"Lang schipgracht","rue longue des bateaux","van lange steenstraat tot zaaimanstraat.",3,3
461,"Laurens Delvauxstraat","rue Laurens Delvaux","van boulevard der citadel tot Van Duyse'splaats.",5,2
462,"Laurentplaats","place Laurent","van brabantdam tot aan het standbeeld van Lieven Bauwens.",4,"1 en 2"
463,"Laurentstraat","rue Laurent",", ziet spaarstraat  rue de l’épargne .",,
464,"Ledeganckstraat","rue Ledeganck","van zwijnaardschen steenweg tot hofbouwlaan.","H 5",2
465,"Leemstraat",,"ziet kleemstraat.",,
466,"Leemstraat","rue d'argile","Gentbrugge, van brusselschensteenweg tot voordries.",,
467,"Leeuwerikstraat","rue de l'alouette","van maltebrugstraat tot voskensstraat, s. Pieters-Aigem.","H 5",2
468,"Leeuwstraat","rue du lion","van Benardstraat tot olifantstraat.",5,1
469,"Leikaai, buiten de brugschepoort","quai de la lys","van coupure links aan de fabrief  «La Lys» tot Drongen.",6,3
470,"Leisteeg","ruelle de la lys","van nederkouter tot de lei  lindenlei .",5,2
471,"Leistraat, buiten de brugschepoort","rue de la lys","van rooigemstraat tot leikaai.",6,3
472,"Leistraatje","ruelle de la lys","van sluizeken tot achterlei.",3,1
473,"Leopoldboulevard",,"ziet boulevard Leopold.",,
474,"Leopoldstraat","rue Léopold","van roodentorenkaai tot kasteelbrugstraat.","H 3",1
475,"Lievegang","passage de la liève","van s. Antoniuskaai tot kluizestraat.",3,3
476,"Lievekaai","quai de la liève","van klein gewat tot korte zilverstraat.",2,3
477,"Lieven Bauwensplaats","pl. LiévinBauwens","van lammenstraat tot muinkkaai, dierentuindreef en statiestr. 4 en",5,1
478,"Lievestraat","rue de la liève","v. lievebrug t. langesteenst.",3,3
479,"Limburgstraat","rue du Limbourg","van Vlaanderenstraat tot bij s. Baafs.",1,2
480,"Lindenlei","quai aux tilleuls","van recollettenlei t. coupure, rechter oever.",2,2
481,"Lindenstraat","rue des tilleuls","van palingshuizen, langs hospice Guislain, tot nieuwe kerkstraat.","H 6",3
482,"Lindenstraat","rue des tilleuls","Ledeberg, van Vandeveldestraat tot rietgrachtstraat.",,
483,"Liverpoolstraat","rue de Liverpool","van meulesteedschen steenweg tot voorhavendreef.","HM 3",1
484,"Londenstraat","rue de Londres","van voorhavendreef en gelijkloopend met deze tot voorhavenplaats.","HM 3",1
485,"Loodsenstraat","rue des Pilotes","van meulesteedschensteenweg tegenover de windmolenstraat tot terneuzenlaan.","HM 3",1
486,"Loostraat","rue de Loo","van kortrijkschen steenweg tot smisstraat, s. Pieters-Aigem.","H 5",2
487,"Lousbergsboulevard",,"ziet boulevard Lousbergs.",,
488,"Luxemburgstraat","rue du luxembourg","van kleine ramstraat tot ramstraat.",2,3
489,"Lijsterstraat","r. de la grive","v. groendreef tot kiekenstr.",6,3
490,"Maagdestraat","rue de la pucelle","van violettenlei tot papegaaistraat.",2,2
491,"Mageleinstraat","rue magelein ou aux marjolaines","van aan het belfort tot kalanderstraat.",1,2
492,"Magerstraat","rue maigre","Gentbrugge, van brusselschen steenweg tot kasteelstraat.",,
493,"Makkelaarsstraat","rue des courtiers","van meulesteedschen steenweg tegenover de zeilstr. tot terneuzenlaan.","HM 3",1
494,"Maltebrugstraat","rue du pont de malte","van en tot kortrijkschen steenweg, s. pieters-aigem.","H 5",2
495,"Maria-Theresiaplaats","place Marrie-Thérèse","tusschen de wondelgem¬, de Maria-Therresia¬, de vlot en de torekensstraat.","H 6",3
496,"Maria-Theresiastraat","r. Marie-Thérèse","van kerkstraat tot wondelgemstraat.","H 6",3
497,"Marjoleinstraat",,"ziet mageleinstraat.",,
498,"Marnixstraat","rue Marnix","eerste straat links, van kortrijkschen steenweg tot boulevard Leopold.","H 5",2
499,"Marseillestraat","rue de Marseille","van Londenstraat tot voorhavendreef.","H 3",1
500,"Maststraat","rue du mât","van meulesteedschen steenweg tot spadestraat.","HM 3",1
501,"Mathieu-Gesweinstraat","rue Math. Geswein","van Van Akensstraat tot begijnhofboulevard.",2,3
502,"Matrozenstraat","rue des matelots","tusschen de terneuzenlaan bij de muidebrug en de makelaarsstraat.","HM 3",1
503,"Meelstraat","rue de la farine","van molenaarstraat tot lievegang.",3,3
504,"Meerschstraat","rue des prairies","s. Amandsberg, van antwerpschen steenweg tot Gentstraat s. Amandsb.",,
505,"Meerschstraat","rue des prairies","van den kortrijkschen steenweg tot s. Denijs.","H 5",2
506,"Meersteeg","rue du lac","van abrahamstr. tot burgstraat.",2,3
507,"Meirelbekestraat","rue de Meirelbeke","van gildestraat tot oude beestenmarkt.",1,1
508,"Meirelbekestraat","rue de Meirelbeke","Gentbrugge, van mellestraat tot Meirelbeke.",,
509,"Mellestraat","rue de Melle","Gentbrugge, van zwarte heirestraat tot Melle.",,
510,"Merelstraat","rue du merle","van zwijnaardschen steenweg tot kraaistraat.","H 5",2
511,"Mertensstraat","rue Mertens","s. Amandsberg, van oostackerstraat tot schoolstraat.",,
512,"Metdepenningensstraat","rue Metdepenningen","van van hulthemstraat tot lange kazernenstraat.",5,2
513,"Metsersstraat","rue des maçons","van regattendreef tot wollestraat.","H 3",1
514,"Meulestede","hameau de Meulestede","van meulesteedschen steenweg tot Wondelgem Evergem-Oostakker.","HM 3",1
515,"Meulesteedschesteenweg","chaussée de Meulestede","van voormuide tot Meulestede.","HM 3",1
516,"Meulestedekaai","quai de meulestede","v. voorhavendreef tot meulestedebrug","HM 3",1
517,"Minnemansteeg","rue des amants","van oude vlasmarkt tot kleine penitentenstraat.",1,1
518,"Minnemeersch","place du pré d'amour","van goudstraat tot minnemeerschbrug.",1,1
519,"Mirystraat","rue Miry","van slijpstraat tot nieuwland.",3,1
520,"Modenaaisteeg","rue des couturrières","van veldstraat tot predikheerenlei.",1,2
521,"Molekenstraat","rue du moulinet","v. veldstraat tot de lei.",1,2
522,"Molenaarstraat","rue des meuniers","van augustijnenkaai tot vogelenzangkaai.",3,3
523,"Molenaarstraat","rue des meuniers","Ledeberg, van brusselsche steenweg tot leemstraat  Gentbrugge .",,
524,"Molenstraat","rue du moulin","Ledeberg, van de vanlokerenstraat tot de langestraat.",,
525,"Molenstraat","rue du moulin","s. Amandsberg, achter het nieuw begijnhof, van schoolstraat tot kouterstraat.",,
526,"Molenweg","chemin du moulin","van coupure, linker oever, tot bijlokevest.","H 2",2
527,"Mooriaanstraat","rue Moriaen","Ledeberg, van langestr. tot hundelgemschen steenweg.",,
528,"Mortierstr.","rue du mortier","v. veerstr. tot Van Eyckst. en Van Eyckplaats.",4,1
529,"Moutsteeg","rue du malt","van onderwijsstraat naar de schelde.","H 5",2
530,"Muinkbrugstraat","rue du pont des moines","van klein s. pietersplein tot muinkkaai.",5,2
531,"Muinkkaai","quai des moines","van Lieven Bauwensplaats, langs de opperschelde, tot Benardstraat.",5,1
532,"Musschenstraat","r. des moineaux","van kortrijkschen steenweg tot zwijnaardschen steenweg, s. Pieters-Aalst.","H 5",2
533,"Nachtegaalstraat","rue du rossignol","van brugschen steenweg tot groendreef.",6,3
534,"Nassaustraat","rue Nassau","van kortrijkschen steenweg tot boulevard Léopold.","H 5",2
535,"Nationale galerij galerie nationale","van Vanderdoncktdoorgang tot Vlaanderenstraat.",,4,1
536,"Nederkouter","rue basse des champs","van ketelpoortbrug tot kortrijkschestraat.",5,2
537,"Nederpolder","rue du bas-poldre","van hoogpoort tot bisdomkaai.",1,"2 en 1"
538,"Nederscheldekaai",,"ziet reep.",,
539,"Nederscheldestraat","rue du bas-escaut","ziet Conservatoriumstraat.",,
540,"Nettestraat","rue du filet","van drongenschen steenweg tot brugschen steenweg.",6,3
541,"New-Yorkstraat","r. de New-York","van meulesteedschen steenweg tot voorhavendreef.","HM 3",1
542,"Nieuwbegijnhofstraat","rue du nouveau béguinage","van dendermondschen steenweg tot Oostakkerstraat.",7,1
543,"Nieuwbrugkaai","quai du pont neuf","van nieuwbrug tot pasbrug.",1,1
544,"Nieuwe casinostraat","rue neuve du casino","van twaalfkamersstraat tot casinoplaats.",2,2
545,"Nieuwe hospitaalstraat","rue du nouvel hôpital","van de coupure tot het nieuw hospitaal.","H 2",2
546,"Nieuwe kerkstraat","nouvelle rue de l’église","van nijverheidslaan tot Wondelgem  boerenkerkstraat .","H 6",3
547,"Nieuwenboschstraat","rue du nouveau bois","van Van Arteveldeplaats tot tweebruggenstraat.",4,1
548,"Nieuwe sasschepoortstraat",,"ziet voormuide.",,
549,"Nieuwe straat","rue neuve","Ledeberg, van driesstraat tot brusselschesteenweg.",,
550,"Nieuwe theresianenstraat","rue neuve des thérésiennes","van rasphuisstraat tot theresianenstraat.",2,2
551,"Nieuwe Veeplaats",,"ziet beestenmarkt [nieuwe].",,
552,"Nieuwe wandeling","nouvelle promenade","van coupure, linker oever, tot akkergemboulevard.","H 2",2
553,"Nieuwe weg",,"ziet kannunikstraat.",,
554,"Nieuwland","rue terre-neuve","van huidevetterskaai tot priestersstraat.","H 3",1
555,"Nieuwpoort",,"van s. jacobsplaats tot roode torenstraat.",1,1
556,"Nieuwstraat","rue neuve","s. Amandsberg, van achterstraat tot molenstraat.",,
557,"Noordkaai, b. de brugschepoort","quai du nord, faub. de Bruges","van noordstraat tot eliseesche-velden.","H 6",3
558,"Noordstraat","rue du nord","van brugschepoortstraat tot noordkaai  buiten de brugschepoort .","H 6","2 en 3"
559,"Noordstraat","rue du nord","Ledeberg, van vooruitgangplaats tot langestraat  noord der kerk .",,
560,"Normaalschoolboulevard",,"ziet hofbouwlaan.",,
561,"Normaalschoolstraat","rue de l’école normale","van heuvelstraat tot zwijnaardschen steenweg.","H 5",2
562,"Notelaarstraat","rue du noyer","van abrikoosstraat tot groendreefstraat.",6,3
563,"Nijverheidskaai","quai de l'industrie","van tolhuisbrug tot Wondelgem.","HM 3",3
564,"Nijverheidslaan","boulevard de l'industrie","van palingshuizen tot aan de nijverheidskaai, linkerkant van de verbindingsvaart. H 6—","HM 3",3
565,"Nijverheidsplaats","place de l'industrie","tusschen s. salvatorstraat en de tolhuisbrug.","H 3",1
566,"Oefeningsplein","champ des manoeuvres","tusschen den boulevard van het kasteel en den dendermondscheweg, is tegenwoordig ingenomen door staats-spoorweg  station du champ des manoeuvres  statie van het oefeningsplein.",7,1
567,"Okerstraat","r. de l'ocre","v. veldstr. tot predikheerenlei.",1,2
568,"Oliestraat","rue de l'huile","van steendam tot s. Jansdreef",1,1
569,"Olifantstraat","rue de l’éléphant","van dierentuindreef tot terplatenbrug.",5,1
570,"Olijfsstraat","rue de l'olive","van hamerstraat tot notelaarstraat.",6,3
571,"Olmstraat","rue de l'orme","van plezantevest tot gasmeterlaan",3,3
572,"Onderbergen","rue de la vallée","van s. Michielsplaats tot korte violettenstraat.",2,2
573,"Onderstraat","rue basse","van langemunt tot koningstraat",1,1
574,"Onderwijsstraat","rue de l'instruction","van ottergemschen steenweg tot zwijnaardschen steenw., s. Pieters-Aalst","H 5",2
575,"Onze-lieve-vrouwestraat","rue Notre-Dame","van boomgaardstraat tot plottersgracht.",3,3
576,"Oostakkerstraat","rue d'Oostacker","van antwerpschen steenweg tot dendermondschen steenw., op het gebied van Gent.",7,1
577,"Oostenrijkersstraat","rue des Autrichiens","van prooststraat tot spanjaardstraat",7,1
578,"Opperscheldestraat",,"ziet gouvernementstraat.",,
579,"Oranjeberg","rue d'Orange ou de la liberté","van kalanderberg tot gouvernementstraat.",1,2
580,"Ossenstraat","rue des boeufs","van slachthuisstraat tot kasteelboulevard.",7,1
581,"Ottergemschensteenweg","chaussée d'Ottergem","van de voormalige heuvelp. tot zwijnaarde, s. Pieters-Aalst.","H 5",2
582,"Ottogracht","fossé d'othon ou de baudeloo","van kleine botermarkt tot krommewalplaats.",1,1
583,"Oudburg","rue du vieuxbourg","van kraanlei tot sluizeken.",3,3
584,"Oude ajuinenlei","vieux quai aux oignons","van predikheerenstraat tot recollettenlei.",2,2
585,"Oude barriere","ancienne barrière","s. Amandsberg Oude brusselsche aardeweg  vieux chemin de Bruxelles",,
586,"Gentbrugge",,"van posthoornstraat tot magerstraat.",,
587,"Oude driesstraat","vieille rue du pré","Ledeberg, van hovenierstraat tot brusselschen steenweg.",,
588,"Oude kerkweg","vieux chemin de l’église","op akkergemstraat, zonder eind.","H 2",2
589,"Oude molenaarsstraat","vieille rue des meuniers","van en tot terplaten.",5,1
590,"Oudenaardschesteenweg","chaussée d'Audenarde","buiten de heuvelpoort.","H 5",2
591,"Oude sasschepoortstraat","rue de l'ancienne porte du sas","van klein meerhem tot dok en voormuide.","H 3",1
592,"Oude schapenmarkt","vieux marché aux moutons","van vlasmarkt tot s. Jansdreef.",1,1
593,"Oude Scheldestraat","rue du vieil Escaut","van kuiperskaai tot vlaanderenstraat.",4,1
594,"Oude vest","rue du vieux rempart","van baudeloostraat tot goudstraat.",1,1
595,"Oude vlasmarktstraat","rue du vieux marché au lin","van vrijdagmarkt tot bij s. Jacobs.",1,1
596,"Paardestraat","rue du cheval","van schaapstraat tot puin- straat.",7,1
597,"Pacificatiestraat","rue de la pacification","Ledeberg, van de vooruitgangplaats tot driesstraat.",,
598,"Paddenhoek","rue de la crapaudière","van kalanderberg tot voldersstraat.",1,2
599,"Palfynstraat","rue Palfyn","van boulevard der citadel tot lange kazernstraat.",5,2
600,"Palingshuizen, buiten de brugschepoort","maisons aux anguilles, faubourg de Bruges","van eliseesche-velden tot Mariakerke.","H 6",3
601,"Palingstraat","rue aux anguilles","van fabriekplaats tot korte schipgracht.",3,3
602,"Pannestraat","rue de la tuile","van de eliseeschevelden tot gasmetersstraat.","H 6",3
603,"Papegaaistraat","rue du perroquet","van annonciadestr. tot galgenbergstraat.",2,2
604,"Papegaaistraatje",,"ziet kleine onderstraat.",,
605,"Papegaaistraatje","rue du perroquet","s. Amandsberg, van antwerpschen steenweg tot dendermondscheweg, overkant van de Oostakkerstraat.",,
606,"Papenstraat",,"ziet priestersstraat.",,
607,"Paradijszak","impasse du paradis","in de donkersteeg, zonder eind.",1,2
